PacketCounter,Time(ms),x,y,z,Gyr_X,Gyr_Y,Gyr_Z
254,64050.825,-0.828184366,9.123966703,7.97654438,5.462082386,5.566101551,3.855864763
255,64059.158,-0.801607132,9.056204805,7.958444118,3.322371483,5.728855133,2.847662687
256,64067.491,-0.72325772,9.057711134,7.967908382,1.667589068,5.468587399,1.744098902
257,64075.824,-0.591180384,9.077370653,8.001489639,0.311776459,5.159910202,0.351606607
258,64084.157,-0.489170581,9.110703478,7.960307598,-0.382074773,4.61852932,-1.029269695
259,64092.49,-0.48108384,9.145432958,7.964330196,-0.369626254,3.729586363,-1.990725636
260,64100.823,-0.551220238,9.075111875,8.002114296,0.393383414,2.392676592,-2.65567112
261,64109.156,-0.656753004,8.974004278,7.998346329,1.274974346,1.042320013,-2.933124781
262,64117.489,-0.774952471,9.012982378,8.026558876,2.24449873,-0.172806442,-2.813992977
263,64125.822,-0.875082016,9.166965971,8.052716255,2.840720892,-0.817465484,-2.353653669
264,64134.155,-0.887507975,9.283424387,8.144953728,2.9468925,-1.233799338,-1.624032259
265,64142.488,-0.825858116,9.38658906,8.185956001,3.120480061,-1.476571083,-1.014567256
266,64150.821,-0.843025506,9.374632845,8.226302147,3.020533323,-1.393939495,-0.645722091
267,64159.154,-0.830909193,9.341865549,8.239321709,2.746076584,-1.366020083,-0.406690001
268,64167.487,-0.82909137,9.257291803,8.208235741,2.182614803,-1.260386825,-0.37126556
269,64175.82,-0.833971262,9.169035921,8.096313477,1.648455262,-0.895768106,-0.645132899
270,64184.153,-0.816271603,9.0724578,8.155360222,1.211246014,-0.728737772,-1.230033994
271,64192.486,-0.745606542,8.999729166,8.178160667,0.791479826,-0.847792685,-1.609329462
272,64200.819,-0.705162644,8.961503038,8.166543961,0.590126336,-0.731632173,-1.789141417
273,64209.152,-0.734964192,8.945807466,8.160835266,0.555957079,-0.613857985,-1.77782011
274,64217.485,-0.839963853,8.929487714,8.15344429,0.777238309,-0.895230293,-1.398985386
275,64225.818,-0.972911,8.884653101,8.134973526,1.369900346,-1.516144872,-0.908754647
276,64234.151,-1.075807571,8.788974771,8.081372261,1.921708107,-2.093720436,-0.494931042
277,64242.484,-1.074360013,8.711748132,8.090260506,2.383737087,-3.048772097,0.103455871
278,64250.817,-1.066516399,8.642673025,8.080181122,2.534682274,-4.086456776,0.655340254
279,64259.15,-0.970186114,8.639271745,7.950694084,2.60163784,-4.035023689,0.861278594
280,64267.483,-0.776635408,8.714405069,7.914236546,2.307611942,-3.582112312,0.982971907
281,64275.816,-0.597943366,8.798807153,7.861935616,2.331894159,-2.854385853,1.560828805
282,64284.149,-0.575506151,8.860078344,7.869662285,2.290322065,-2.092772484,1.977213621
283,64292.482,-0.638433695,8.881811628,7.838943481,2.512192965,-1.375266552,2.500794649
284,64300.815,-0.763718188,8.84695817,7.775499344,3.034416437,-0.569058716,2.944920301
285,64309.148,-0.841508389,8.701045999,7.739779949,3.654408693,0.023232114,2.936032057
286,64317.481,-0.856661499,8.598564634,7.679800034,4.180089474,0.559799135,2.937568426
287,64325.814,-0.790508509,8.455845842,7.628743172,4.460719109,0.728545666,2.803529263
288,64334.147,-0.700772822,8.364490995,7.60419178,4.613738537,0.997034192,2.723817825
289,64342.48,-0.659946918,8.382863531,7.475309849,4.483925819,1.532935381,2.431277514
290,64350.813,-0.643106282,8.423902521,7.506789684,4.152477264,1.981081605,2.148854733
291,64359.146,-0.604845941,8.482805261,7.561914921,3.591243982,2.108435869,1.560624123
292,64367.479,-0.540120304,8.596337328,7.570297718,2.868640661,2.303052425,0.961250961
293,64375.812,-0.486389607,8.612017164,7.560337543,2.114531755,2.454074144,0.633875489
294,64384.145,-0.472042054,8.610559473,7.552667141,1.613620043,2.433608294,0.545762539
295,64392.478,-0.489614904,8.632061014,7.50488615,1.29331398,2.676226377,0.362031579
296,64400.811,-0.539642334,8.632337103,7.459215641,1.274871826,2.371135473,0.480727941
297,64409.144,-0.586631,8.60206891,7.486598015,1.528708935,2.1085639,0.493022799
298,64417.477,-0.661184251,8.545606622,7.535524368,1.732418656,1.260169148,0.633849859
299,64425.81,-0.71834594,8.517772207,7.564758301,1.670790911,0.408060342,0.556776583
300,64434.143,-0.639678657,8.52337409,7.604202747,1.384526372,-0.369959205,0.433392882
301,64442.476,-0.514332712,8.546333799,7.672753334,1.009918094,-1.290842295,0.330321193
302,64450.809,-0.467155755,8.651664743,7.714724064,0.436773926,-2.344073772,0.2200775
303,64459.142,-0.458662301,8.758632192,7.660371304,-0.073500052,-2.877516031,0.056197636
