Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s),Magnetic Field X (uT),Magnetic Field Y (uT),Magnetic Field Z (uT),Orientation Quaternion Scalar,Orientation Quaternion X,Orientation Quaternion Y,Orientation Quaternion Z
-9.008429,0.739102,0.725011,0.860466,0.014353,-0.066465,16.132991,-42.042373,58.860934,0.665379,-0.171569,0.682381,0.24938
-9.145167,1.301655,0.880282,0.764336,0.07887,-0.047007,16.268493,-41.751399,59.075424,0.665525,-0.169964,0.683358,0.247407
-9.47198,1.553733,0.963231,0.566332,0.126001,-0.018995,16.369945,-41.488608,59.604229,0.665383,-0.168844,0.684281,0.246003
-9.435816,1.423845,0.787572,0.349866,0.163148,0.000428,16.656972,-41.046496,59.856055,0.664978,-0.168268,0.685102,0.245203
-9.309221,1.074739,0.641295,0.235337,0.205261,0.023093,16.656972,-41.046496,59.856055,0.664364,-0.16797,0.685937,0.24474
-9.388172,0.980388,0.508268,0.216588,0.235909,0.024291,15.897182,-40.677577,59.707275,0.663653,-0.167748,0.686833,0.244309
-9.368036,1.129301,0.249153,0.239624,0.254293,0.04292,15.983761,-40.600066,59.646326,0.662887,-0.167432,0.68781,0.243853
-9.428132,1.323902,0.107305,0.270364,0.300696,0.057638,15.764024,-40.705257,59.966148,0.662001,-0.167042,0.688946,0.243321
-9.475352,1.415661,0.008184,0.267162,0.326307,0.062244,15.280687,-40.757344,60.149271,0.661038,-0.166671,0.690146,0.242792
-9.511975,1.43065,-0.04128,0.248638,0.343782,0.076414,15.286882,-40.58123,60.009798,0.660001,-0.166326,0.69138,0.242338
-9.611942,1.34915,0.012457,0.234565,0.34787,0.081615,15.097338,-40.597901,60.294932,0.658937,-0.166006,0.692613,0.241932
-9.523745,1.254498,-0.163191,0.196025,0.33391,0.097778,14.761139,-40.618621,60.571859,0.657868,-0.165729,0.693783,0.24168
-9.416246,1.253119,-0.413068,0.166756,0.327483,0.105547,14.594671,-40.631908,60.714289,0.656788,-0.165499,0.694912,0.241531
-9.546938,1.2789,-0.55945,0.123672,0.318783,0.104538,14.296735,-40.632224,60.687566,0.655703,-0.165374,0.695976,0.2415
-9.735565,1.191307,-0.54609,0.0758,0.321886,0.108617,14.298221,-40.479257,60.708903,0.654574,-0.165364,0.697003,0.241608
-10.033475,0.921594,-0.402193,0.052703,0.317107,0.118127,14.298457,-40.791052,60.674176,0.653432,-0.165382,0.698001,0.241805
-10.028426,0.873601,-0.559911,0.048224,0.286856,0.121719,14.010734,-41.076354,60.438348,0.652365,-0.165373,0.698918,0.242042
-9.854038,0.975034,-0.841343,0.060596,0.280685,0.125379,14.128319,-40.953387,60.790003,0.651318,-0.165317,0.699833,0.242259
-9.884544,1.013539,-0.782896,0.093117,0.258655,0.129592,13.975075,-40.945713,60.766035,0.650346,-0.165145,0.700724,0.24241
-9.845178,1.164037,-0.832196,0.073171,0.2628,0.135368,13.662446,-40.653265,60.937841,0.649344,-0.165011,0.701609,0.242629
-9.650572,1.253922,-0.888697,-0.010523,0.267692,0.151448,13.484249,-41.111661,60.997629,0.648258,-0.16505,0.702436,0.243113
-9.445519,1.054711,-0.942319,-0.08,0.286143,0.153,13.203642,-41.098938,60.81516,0.647073,-0.165277,0.703243,0.24378
-9.466662,0.939045,-0.865796,-0.094069,0.310452,0.157641,13.035046,-41.108305,60.952302,0.645807,-0.165551,0.704099,0.244481
-9.438658,1.088362,-0.370203,-0.098783,0.323242,0.155803,12.899961,-41.244377,60.756497,0.644503,-0.165852,0.704979,0.245181
